instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
4096;0.002034;;0.036344;
4096;0.001517;;0.041601;
4096;0.001583;;0.028471;
4096;0.001522;;0.039786;
4096;0.001486;;0.051081;
4096;0.001586;;0.039507;
4096;0.001640;;0.031119;
4096;0.001497;;0.040190;
4096;0.002010;;0.078169;
4096;0.001614;;0.038495;
4096;0.001986;;0.041931;
4096;0.001351;;0.049008;
4096;0.001763;;0.049196;
4096;0.001852;;0.036875;
4096;0.001595;;0.044526;
4096;0.001913;;0.041756;
4096;0.002078;;0.042799;
4096;0.001675;;0.066193;
4096;0.001558;;0.057775;
4096;0.001813;;0.035138;
4096;0.001721;;0.035169;
4096;0.001871;;0.038707;
4096;0.001950;;0.089793;
8192;0.003110;;0.295127;
8192;0.002344;;0.320760;
8192;0.002086;;0.317731;
8192;0.002231;;0.295975;
8192;0.002382;;0.277759;
8192;0.002336;;0.313480;
8192;0.002515;;0.283469;
8192;0.002385;;0.278058;
8192;0.002121;;0.350538;
8192;0.002588;;0.374122;
8192;0.003116;;0.378763;
8192;0.002378;;0.307578;
8192;0.002445;;0.199538;
8192;0.002334;;0.240353;
8192;0.002540;;0.306299;
8192;0.004289;;0.328785;
8192;0.002187;;0.237248;
8192;0.002363;;0.312996;
8192;0.002781;;0.284919;
8192;0.002969;;0.409396;
8192;0.002520;;0.301562;
8192;0.002114;;0.279624;
8192;0.008772;;0.301383;
8192;0.002178;;0.315587;
8192;0.002215;;0.340619;
8192;0.002166;;0.252274;
8192;0.002170;;0.340034;
8192;0.002410;;0.274502;
8192;0.002552;;0.327642;
8192;0.002137;;0.295153;
8192;0.002645;;0.249101;
8192;0.002127;;0.362033;
8192;0.002157;;0.359775;
8192;0.002782;;0.444757;
8192;0.002520;;0.202694;
8192;0.001919;;0.308897;
8192;0.008494;;0.366744;
8192;0.001970;;0.379100;
8192;0.002112;;0.221259;
8192;0.002251;;0.372235;
8192;0.002607;;0.382524;
8192;0.003739;;0.252341;
8192;0.003015;;0.180140;
8192;0.005051;;0.347118;
8192;0.002341;;0.288959;
8192;0.002002;;0.370417;
8192;0.002282;;0.258537;
8192;0.002477;;0.262719;
8192;0.002224;;0.324671;
8192;0.002202;;0.263425;
16384;0.004640;;2.332696;
16384;0.003810;;2.064350;
16384;0.003638;;3.006419;
16384;0.003120;;2.568237;
16384;0.003385;;2.920565;
16384;0.004098;;2.515377;
16384;0.003191;;2.788680;
16384;0.008049;;1.856193;
16384;0.003089;;2.740252;
16384;0.003813;;1.679630;
16384;0.004257;;2.854486;
16384;0.006386;;1.994911;
16384;0.005679;;2.336985;
16384;0.004102;;2.443173;
16384;0.003547;;2.903243;
16384;0.003753;;2.804602;
16384;0.003561;;2.431231;
16384;0.003503;;2.638192;
16384;0.003920;;2.641026;
16384;0.003566;;2.348174;
16384;0.003144;;2.592886;
16384;0.003090;;2.325099;
16384;0.003734;;2.900405;
16384;0.003428;;2.927320;
16384;0.003435;;2.537944;
16384;0.003738;;2.632901;
16384;0.003169;;2.637952;
16384;0.003311;;2.538068;
16384;0.003728;;3.082395;
16384;0.003267;;2.978637;
16384;0.003575;;2.522496;
16384;0.003424;;2.391563;
16384;0.003385;;2.589089;
16384;0.003331;;2.685355;
16384;0.004352;;2.913974;
16384;0.005256;;2.050143;
16384;0.008314;;2.389960;
16384;0.006068;;2.664160;
16384;0.003456;;2.704381;
16384;0.003381;;2.425769;
16384;0.003565;;2.759924;
16384;0.004265;;2.703629;
16384;0.006344;;2.905725;
16384;0.003851;;2.654749;
16384;0.003367;;2.396703;
16384;0.003746;;2.621851;
16384;0.003154;;3.332133;
16384;0.006669;;2.432042;
16384;0.003419;;2.562748;
16384;0.003463;;2.663653;
